Date,Open,High,Low,Close,Adj Close,Volume
2017-11-29,4.888888,4.888888,4.720000,4.764444,4.526039,31310473
2017-11-30,4.711111,4.720000,4.488888,4.542222,4.314937,109468383
2017-12-01,4.622222,4.702222,4.542222,4.577777,4.348712,45018749
2017-12-04,4.586666,4.871111,4.551111,4.782222,4.542927,57460074
2017-12-05,4.835555,4.871111,4.675555,4.702222,4.466930,31726460
2017-12-06,4.888888,4.915555,4.471111,4.542222,4.314937,110147096
2017-12-07,4.542222,4.906666,4.542222,4.880000,4.635813,99788703
2017-12-08,5.022222,5.031111,4.871111,4.977777,4.728697,62625035
2017-12-11,4.977777,5.315555,4.977777,5.253333,4.990465,107445532
2017-12-12,5.271111,5.493333,5.244444,5.457777,5.184678,97168320
2017-12-13,5.466666,5.520000,5.333333,5.484444,5.210011,65602761
2017-12-14,5.546666,5.760000,5.546666,5.680000,5.395782,73950095
2017-12-15,5.608888,5.688888,5.377777,5.431111,5.159347,82054964
2017-12-18,5.448888,5.582222,5.377777,5.555555,5.277564,53164714
2017-12-19,5.537777,5.688888,5.484444,5.555555,5.277564,69612405
2017-12-20,5.555555,5.653333,5.502222,5.555555,5.277564,42784103
2017-12-21,5.591111,5.866666,5.511111,5.804444,5.513999,40747844
2017-12-22,5.831111,5.866666,5.715555,5.777777,5.488666,35792451
2017-12-27,5.751111,5.848888,5.715555,5.760000,5.471779,56099992
2017-12-28,5.777777,5.973333,5.688888,5.973333,5.683208,45105750
2017-12-29,5.991111,6.204444,5.937777,6.160000,5.860808,46324291
2018-01-02,6.204444,6.328888,6.026666,6.133333,5.835436,57475676
2018-01-03,6.240000,6.382222,6.133333,6.177777,5.877721,57542071
2018-01-04,6.337777,6.506666,6.248888,6.284444,5.979208,81385983
2018-01-05,6.275555,6.382222,6.008888,6.133333,5.835436,59167059
2018-01-08,5.955555,6.320000,5.777777,6.266666,5.962293,148739397
2018-01-09,6.444444,6.737777,6.302222,6.622222,6.300580,107964886
2018-01-10,6.622222,6.640000,6.302222,6.488888,6.173723,74800491
2018-01-11,6.515555,6.613333,6.444444,6.471111,6.156809,42273031
2018-01-12,6.613333,6.951111,6.480000,6.835555,6.503551,86457894
2018-01-15,6.924444,6.977777,6.533333,6.604444,6.283666,59217507
2018-01-16,6.684444,6.764444,6.542222,6.595555,6.275208,45577431
2018-01-17,6.666666,6.666666,6.444444,6.577777,6.258293,57388326
2018-01-18,6.666666,6.737777,6.257777,6.257777,5.953836,83213079
2018-01-19,6.302222,6.622222,6.266666,6.604444,6.283666,81148779
2018-01-22,6.622222,6.897777,6.480000,6.897777,6.562751,63507971
2018-01-23,7.022222,7.066666,6.764444,6.924444,6.588124,57061221
2018-01-24,7.066666,7.075555,6.693333,6.871111,6.537380,42626614
2018-01-25,6.906666,6.915555,6.595555,6.791111,6.461266,58161541
2018-01-26,6.800000,6.888888,6.711111,6.764444,6.435894,37445937
2018-01-29,6.897777,6.897777,6.533333,6.640000,6.317494,61182994
2018-01-30,6.586666,6.728888,6.453333,6.604444,6.283666,52555450
2018-01-31,6.480000,6.577777,6.364444,6.408888,6.097608,79746986
2018-02-01,6.408888,6.604444,6.328888,6.328888,6.021493,48786088
2018-02-02,6.391111,6.702222,6.293333,6.595555,6.275208,64461048
2018-02-05,6.320000,6.462222,6.257777,6.400000,6.089151,44498346
2018-02-06,6.222222,6.240000,5.777777,5.893333,5.607094,107406060
2018-02-07,6.186666,6.355555,5.804444,5.857777,5.573265,97543318
2018-02-08,5.920000,6.080000,5.813333,6.071111,5.776237,59502111
2018-02-09,5.822222,5.848888,5.573333,5.760000,5.480236,84953643
2018-02-12,5.902222,6.266666,5.866666,6.088888,5.793149,59287817
2018-02-13,6.222222,6.364444,6.133333,6.240000,5.936923,42651000
2018-02-14,6.248888,6.266666,6.106666,6.177777,5.877721,31513295
2018-02-15,6.311111,6.320000,6.177777,6.222222,5.920008,22347954
2018-02-20,6.311111,6.444444,6.151111,6.213333,5.911550,45915876
2018-02-21,6.222222,6.284444,6.186666,6.266666,5.962293,35079621
2018-02-22,6.204444,6.408888,6.133333,6.204444,5.903093,54023404
